time, ECG, accX, accY, accZ, gyroX, gyroY, gyroZ, temp
2047,2043,0.545878,8.09719,5.439626,-0.105519,0.061819,-0.077274,25.235882
2057,2111,0.600945,8.049306,5.556942,-0.083403,0.068747,-0.03544,25.227058
2067,2068,0.756568,7.991845,5.631162,-0.055158,0.062352,-0.004263,25.224117
2077,2123,0.938527,7.912837,5.612009,-0.028511,0.031443,0.007194,25.232941
2087,2165,1.091756,7.838616,5.434838,-0.015455,-0.002398,-0.014123,25.218235
2097,2176,1.13964,7.817069,5.279215,-0.02185,-0.020784,-0.05649,25.209412
2107,2170,1.086968,7.817069,5.300763,-0.038637,-0.023182,-0.105519,25.227058
2117,2147,0.926556,7.874529,5.386954,-0.052227,-0.019985,-0.140692,25.221176
2127,2115,0.754174,8.010999,5.379771,-0.054358,-0.01732,-0.154815,25.227058
2137,2119,0.651223,8.058883,5.422867,-0.041835,-0.025047,-0.146288,25.232941
2147,2081,0.533907,7.94875,5.346252,-0.023982,-0.029044,-0.1303,25.227058
2157,2029,0.47884,7.78355,5.221754,-0.012524,-0.019452,-0.122839,25.238823
2167,1936,0.462081,7.64708,5.066131,-0.018119,0.006129,-0.12577,25.232941
2177,1881,0.445322,7.608773,5.030218,-0.031975,0.039969,-0.128968,25.224117
2187,1798,0.440533,7.685388,5.169082,-0.048496,0.038904,-0.108983,25.23
2197,1735,0.433351,7.845799,5.26485,-0.059688,-0.001865,-0.074876,25.247646
2207,1738,0.490811,7.908048,5.233725,-0.062352,-0.041035,-0.043433,25.232941
2217,1679,0.550666,7.843405,5.190629,-0.06475,-0.064217,-0.02185,25.232941
2227,1698,0.624887,7.675811,5.181053,-0.076208,-0.06102,-0.022116,25.23
2237,1712,0.653617,7.560889,5.188235,-0.092462,-0.042368,-0.033574,25.250587
2247,1738,0.591368,7.654263,5.178658,-0.093262,-0.033574,-0.058355,25.241764
2257,1744,0.490811,7.855376,5.171476,-0.103654,-0.036505,-0.090864,25.238823
2267,1772,0.399832,8.046912,5.286397,-0.108717,-0.033574,-0.106851,25.23
2277,1789,0.311246,8.123527,5.403713,-0.088732,-0.018119,-0.099657,25.247646
2287,1765,0.294487,8.044518,5.386954,-0.055691,-0.005329,-0.075142,25.241764
2297,1783,0.332794,7.929596,5.307945,-0.035706,-0.010658,-0.037571,25.235882
2307,1827,0.423774,7.879318,5.228937,-0.055158,-0.029844,-0.000533,25.241764
2317,1831,0.543484,7.934384,5.334281,-0.102055,-0.046364,0.022649,25.23
2327,1829,0.61531,8.09719,5.544971,-0.124704,-0.045565,0.014922,25.235882
2337,1815,0.651223,8.209718,5.81791,-0.098325,-0.046897,-0.008793,25.232941
2347,1818,0.629675,8.202535,5.872977,-0.032242,-0.051161,-0.03091,25.238823
2378,1782,0.579397,7.841011,5.104438,0.024248,-0.03011,-0.064217,25.241764
2388,1781,0.565032,7.754819,5.228937,-0.015455,-0.033041,-0.044766,25.232941
2398,1808,0.562637,7.747637,5.415684,-0.044499,-0.045299,-0.029577,25.238823
2408,1808,0.581791,7.819463,5.470751,-0.04743,-0.049562,-0.02558,25.247646
2418,1808,0.565032,7.888895,5.427655,-0.028778,-0.040236,-0.029844,25.253529
2428,1791,0.550666,7.884106,5.317522,-0.008793,-0.033841,-0.037571,25.235882
2438,1807,0.512359,7.843405,5.193024,0.003198,-0.025847,-0.043167,25.25647
2448,1907,0.493206,7.76679,5.169082,0.001332,-0.018919,-0.042101,25.253529
2458,2045,0.474052,7.680599,5.197812,-0.00906,-0.013057,-0.033041,25.235882
2468,2006,0.505177,7.661446,5.252879,-0.016254,-0.013323,-0.022383,25.262352
2478,2119,0.514753,7.706935,5.360618,-0.024515,-0.023182,-0.011991,25.268236
2488,2147,0.502782,7.855376,5.48751,-0.028511,-0.031975,-0.005862,25.268236
2498,1978,0.531513,8.001422,5.533,-0.014922,-0.034107,-0.001332,25.259411
2508,1782,0.533907,8.039729,5.501875,0.01732,-0.035706,0.005063,25.262352
2518,1698,0.588974,7.924808,5.334281,0.049296,-0.045032,0.014922,25.27706
2528,1704,0.651223,7.745243,5.166687,0.059688,-0.056224,0.027979,25.288824
2538,1724,0.725443,7.635109,5.092467,0.049296,-0.068214,0.037571,25.288824
2548,1726,0.80924,7.606379,5.11162,0.022916,-0.078873,0.03544,25.271177
2558,1769,0.821211,7.685388,5.228937,-0.005329,-0.083136,0.014389,25.288824
2568,1759,0.73502,7.824251,5.418078,-0.019452,-0.074343,-0.019452,25.285883
2578,1761,0.617704,7.975086,5.537788,-0.010658,-0.05649,-0.051427,25.262352
2588,1776,0.454898,8.082825,5.592855,0.018652,-0.038637,-0.068214,25.25647
2598,1438,0.347159,8.116343,5.544971,0.043966,-0.028511,-0.070346,25.27706
2608,2189,0.280122,8.018182,5.389348,0.058089,-0.011724,-0.054092,25.285883
2618,4095,0.268151,7.905654,5.17387,0.05276,0.00373,-0.024781,25.280001
2628,4095,0.306458,7.788338,5.039794,0.031176,0.00373,0.005063,25.280001
2638,1833,0.416591,7.757214,5.001487,0.003997,0.001599,0.02558,25.268236
2648,1296,0.526724,7.82904,5.109226,-0.016787,-0.002132,0.033041,25.274118
2658,1889,0.617704,7.946355,5.286397,-0.016254,-0.011991,0.028245,25.285883
2668,1817,0.634463,8.075643,5.391742,0.003198,-0.021051,0.015455,25.282942
2678,1823,0.586579,8.010999,5.497087,0.024515,-0.023715,0.007194,25.271177
2688,1858,0.533907,7.879318,5.475539,0.034107,-0.022916,0.007994,25.282942
2698,1841,0.521936,7.920019,5.317522,0.044233,-0.024781,0.014389,25.268236
2708,1893,0.56982,7.965509,5.2026,0.050894,-0.040502,0.017853,25.27706
2718,1909,0.624887,7.833828,5.159505,0.043966,-0.059688,0.015721,25.282942
2728,1927,0.646434,7.762002,5.102044,0.032775,-0.060487,0.005329,25.285883
2738,1963,0.593762,7.845799,4.999093,0.019985,-0.042368,-0.012524,25.282942
2748,1994,0.502782,7.939173,5.035006,0.002132,-0.026646,-0.025047,25.280001
2758,2023,0.395043,7.965509,5.17387,-0.010126,-0.01279,-0.024781,25.291765
2768,2038,0.332794,7.955932,5.343858,0.002665,0.000533,-0.007727,25.27706
2778,2044,0.311246,7.924808,5.363012,0.036772,-0.000266,0.018386,25.291765
2788,2113,0.31364,7.874529,5.161899,0.058355,-0.011724,0.038904,25.288824
2798,2143,0.366313,7.788338,4.936844,0.043167,-0.015188,0.049296,25.294706
2808,2153,0.430956,7.76679,4.898537,0.000799,-0.013057,0.053559,25.285883
2818,2206,0.488417,7.893683,5.114015,-0.036239,-0.017853,0.053825,25.288824
2828,2235,0.545878,8.099585,5.394136,-0.037038,-0.026113,0.049828,25.282942
2838,2224,0.588974,8.348581,5.683835,0.00453,-0.032242,0.044233,25.274118
2848,2179,0.59855,8.47308,5.719748,0.06928,-0.042101,0.040502,25.288824
2858,2158,0.61531,8.418014,5.50427,0.124172,-0.047963,0.041568,25.282942
2868,2185,0.608127,8.180987,5.157111,0.145755,-0.03917,0.0437,25.312353
2878,2179,0.56982,7.951144,4.896142,0.123639,-0.021583,0.04743,25.285883
2888,2043,0.531513,7.888895,4.79798,0.073277,-0.002665,0.052493,25.280001
2898,1985,0.476446,7.989451,4.987122,0.029044,-0.000799,0.06102,25.27706
2908,1923,0.447716,8.137892,5.233725,0.021583,-0.011991,0.074609,25.294706
2918,1870,0.471658,8.224083,5.353435,0.058888,-0.025847,0.090064,25.271177
2928,1855,0.519542,8.192958,5.269638,0.108184,-0.037305,0.107118,25.280001
2938,1822,0.565032,8.010999,5.030218,0.140426,-0.039436,0.120974,25.282942
2948,1782,0.56982,7.762002,4.793192,0.139626,-0.026113,0.127103,25.285883
2958,1841,0.553061,7.608773,4.649539,0.107118,-0.00453,0.1311,25.294706
2968,1831,0.505177,7.57286,4.577713,0.067149,0.019452,0.132432,25.297647
2978,1856,0.474052,7.69257,4.651934,0.03091,0.029844,0.132432,25.297647
2988,1872,0.481235,7.69257,4.905719,-0.001599,0.029044,0.142291,25.285883
2998,1903,0.517148,7.759608,5.00867,-0.008793,0.029311,0.163874,25.291765
3008,1831,0.624887,7.833828,4.886566,0.005862,0.042101,0.188389,25.300589
3018,1870,0.725443,7.838616,4.735731,0.006662,0.057822,0.205709,25.280001
3028,1850,0.869095,7.833828,4.683059,-0.022116,0.062352,0.212104,25.288824
