time, ECG, accX, accY, accZ, gyroX, gyroY, gyroZ, temp
2047,1770,4.639963,8.74123,-0.938527,-0.060487,-0.240083,0.363988,23.594706
2057,1791,4.800375,8.331821,-0.493206,-0.202245,-0.258735,0.41275,23.585882
2067,1845,4.979939,8.14268,0.007183,-0.338674,-0.301369,0.427672,23.597647
2077,1871,5.214571,8.286332,0.399832,-0.474836,-0.389568,0.403158,23.597647
2087,1954,5.525817,8.722076,0.593762,-0.601406,-0.512407,0.334943,23.585882
2097,2017,5.671864,9.25359,0.617704,-0.64857,-0.645372,0.228891,23.600588
2107,2089,5.535394,9.727641,0.464475,-0.580089,-0.771409,0.111381,23.603529
2117,2125,5.200206,10.000581,0.251391,-0.460714,-0.846818,0.006395,23.597647
2127,2256,4.72376,10.031705,0.095768,-0.377577,-0.864138,-0.070879,23.588823
2137,2304,4.237737,10.031705,-0.047884,-0.391966,-0.840156,-0.115645,23.594706
2147,2352,3.813963,10.127473,-0.196325,-0.486294,-0.795657,-0.132698,23.588823
2157,2353,3.53863,10.290278,-0.373495,-0.580089,-0.731173,-0.129501,23.603529
2167,2311,3.366248,10.34774,-0.56982,-0.589415,-0.640309,-0.123106,23.603529
2177,2126,3.29921,10.180145,-0.665588,-0.49189,-0.526263,-0.127369,23.600588
2187,1974,3.232172,9.799467,-0.634463,-0.341605,-0.41355,-0.132165,23.600588
2197,1878,3.150769,9.301474,-0.581791,-0.218499,-0.326949,-0.127902,23.585882
2207,1781,3.119645,8.825027,-0.581791,-0.143357,-0.280052,-0.118043,23.600588
2217,1737,3.107674,8.470686,-0.737414,-0.094328,-0.263531,-0.10392,23.603529
2227,1695,3.100491,8.226477,-0.936133,-0.052227,-0.269394,-0.091663,23.603529
2237,1658,3.110068,8.051701,-1.264138,-0.02185,-0.286447,-0.0874,23.597647
2247,1641,3.100491,7.90326,-1.493982,-0.01279,-0.303234,-0.086067,23.609411
2257,1661,3.028665,7.728483,-1.632846,-0.024781,-0.314692,-0.086867,23.60647
2267,1662,2.971204,7.510611,-1.704672,-0.053026,-0.32615,-0.0874,23.60647
2277,1675,2.916138,7.24246,-1.640028,-0.089265,-0.342937,-0.084202,23.615294
2287,1678,2.861071,7.00304,-1.549049,-0.141758,-0.36159,-0.086067,23.60647
2297,1712,2.80361,6.854599,-1.458069,-0.19585,-0.374113,-0.103387,23.618235
2307,1751,2.734178,6.833052,-1.462857,-0.236885,-0.380242,-0.135096,23.60647
2317,1687,2.657564,6.907272,-1.436521,-0.258202,-0.374913,-0.16947,23.627058
2327,1727,2.583344,7.012617,-1.422156,-0.259801,-0.354928,-0.196916,23.618235
2337,1723,2.542642,7.065289,-1.419762,-0.240349,-0.316557,-0.214236,23.609411
2347,1762,2.516306,7.103596,-1.383849,-0.201446,-0.269127,-0.214236,23.600588
2378,1765,2.647987,7.050924,-1.357512,-0.084469,-0.159877,-0.156147,23.603529
2388,1826,2.712631,7.000646,-1.417367,-0.074876,-0.158545,-0.14762,23.597647
2398,1798,2.827552,7.096414,-1.501164,-0.10019,-0.164141,-0.147887,23.600588
2408,1776,2.973598,7.350199,-1.539472,-0.166806,-0.165207,-0.153749,23.60647
2418,1712,3.189077,7.752425,-1.51553,-0.252606,-0.159877,-0.166006,23.603529
2428,1722,3.459621,8.327033,-1.407791,-0.324018,-0.16041,-0.186257,23.60647
2438,1728,3.739743,9.02614,-1.290475,-0.346135,-0.187323,-0.213969,23.597647
2448,1761,3.979163,9.768343,-1.25935,-0.297106,-0.239017,-0.248343,23.60647
2458,1776,4.084508,10.371682,-1.312023,-0.174,-0.295773,-0.284848,23.618235
2468,1787,4.048595,10.682928,-1.429338,0.007727,-0.330147,-0.318689,23.615294
2478,1778,3.861847,10.599131,-1.534683,0.202245,-0.330946,-0.339207,23.60647
2488,1859,3.548207,10.28549,-1.771709,0.340539,-0.307498,-0.346934,23.615294
2498,1987,3.205836,9.935937,-2.090138,0.373047,-0.272325,-0.33894,23.624117
2508,2107,2.896984,9.706094,-2.430115,0.311228,-0.232888,-0.316557,23.624117
2518,2114,2.681506,9.629479,-2.6839,0.189721,-0.191587,-0.283516,23.615294
2528,2031,2.537854,9.799467,-2.667141,0.038637,-0.152683,-0.239017,23.627058
2538,1828,2.557007,10.268731,-2.442086,-0.15215,-0.131899,-0.197449,23.612352
2548,1810,2.741361,11.022904,-2.118869,-0.379709,-0.170536,-0.174,23.609411
2558,1809,3.016694,11.827356,-1.740585,-0.572894,-0.253939,-0.165473,23.621176
2568,1856,3.315969,12.385205,-1.355118,-0.671219,-0.33068,-0.171335,23.624117
2578,1859,3.514688,12.469003,-0.869095,-0.661893,-0.355194,-0.202778,23.627058
2588,1873,3.519476,12.11466,-0.323217,-0.576358,-0.330147,-0.27419,23.621176
2598,1840,3.284845,11.619061,0.21069,-0.49642,-0.289112,-0.377311,23.63294
2608,1808,2.875436,11.346122,0.550666,-0.507345,-0.281651,-0.469507,23.624117
2618,2057,2.372654,11.238382,0.667982,-0.604337,-0.313626,-0.500683,23.627058
2628,2110,1.963245,11.025299,0.47884,-0.644573,-0.317623,-0.45272,23.618235
2638,1712,1.563414,10.601525,0.294487,-0.577158,-0.278986,-0.375712,23.621176
2648,2400,1.233014,9.993398,0.093374,-0.505746,-0.184392,-0.297106,23.638824
2658,4095,1.051055,9.186552,0.169988,-0.494288,-0.045299,-0.221963,23.629999
2668,4095,0.995988,8.8777,1.206678,-0.483363,0.170536,-0.197449,23.624117
2678,3306,-0.083797,10.524911,5.116409,0.725577,2.400827,-0.609133,23.638824
2688,1575,-0.363919,11.432313,4.606444,2.248943,3.256971,-1.012824,23.621176
2698,2078,0.840365,9.148245,2.96881,2.676083,2.754689,-0.99657,23.627058
2708,2135,1.580173,7.869741,2.190695,2.842355,2.039237,-0.908637,23.629999
2718,2112,0.122104,9.19134,0.806846,2.636113,0.901709,-0.864138,23.638824
2728,2189,0.608127,10.970232,-1.661576,2.265997,-0.126303,-0.609666,23.635881
2738,2144,2.528277,10.429143,-4.537012,1.969158,-0.684809,-0.438331,23.638824
2748,2323,3.114856,9.576807,-5.635951,1.658463,-0.564101,-0.58675,23.618235
2758,2257,2.341529,9.540894,-4.771644,1.213204,-0.262199,-0.891051,23.627058
2768,2271,1.340753,10.031705,-3.727772,0.670953,-0.049562,-1.003231,23.624117
2778,2263,0.488417,9.844957,-3.184288,0.148686,0.205976,-0.94834,23.635881
2788,2313,0.390255,9.514558,-2.755726,-0.026646,0.397828,-1.027746,23.650589
2798,2288,0.452504,9.081207,-2.659958,0.13856,0.596609,-1.299538,23.641766
2808,2461,0.52433,9.121908,-2.944868,0.190787,0.749559,-1.626753,23.647648
2818,2295,0.64404,9.181764,-2.858677,0.03464,0.82257,-1.882824,23.635881
2828,2355,0.258574,9.701305,-2.987964,-0.233688,0.717583,-1.890018,23.641766
2838,2326,-0.452504,11.003751,-3.184288,-0.51827,0.494554,-1.432236,23.641766
2848,2339,-0.641646,10.520123,-2.341529,-0.593145,0.153482,-0.580622,23.644707
2858,2431,-0.536301,6.983886,-1.970428,-0.274456,-0.4354,-0.384505,23.644707
