time_ms, ECG, accX, accY, accZ, gyroX, gyroY, gyroZ, temp_C
431,371,-3.0263,8.7939,-2.0016,-0.1282,0.1127,0.0045,28.55
441,1194,-2.9353,8.7508,-1.9848,-0.081,0.1063,0.0011,28.56
451,1133,-2.8347,8.7029,-2.047,-0.0362,0.0869,0.0024,28.58
461,1154,-2.739,8.6766,-2.1524,-0.0123,0.0488,0.0096,28.59
471,1227,-2.6911,8.667,-2.2697,-0.0112,-0.0048,0.0187,28.57
481,1252,-2.6576,8.6981,-2.3631,-0.0173,-0.0629,0.0234,28.58
491,1292,-2.6097,8.7508,-2.3774,-0.0139,-0.118,0.0274,28.58
501,1344,-2.5953,8.7915,-2.332,0.0176,-0.1553,0.0338,28.57
511,1399,-2.6025,8.8418,-2.3942,0.0709,-0.1727,0.0349,28.59
521,1395,-2.6288,8.916,-2.4948,0.1244,-0.174,0.0384,28.59
531,1515,-2.6384,8.9998,-2.5187,0.1572,-0.1751,0.0458,28.58
541,1535,-2.6336,9.0525,-2.4277,0.1679,-0.1839,0.0568,28.61
551,1595,-2.5402,9.1602,-2.2769,0.1711,-0.194,0.0687,28.62
561,1681,-2.4804,9.3182,-1.9345,0.1713,-0.1966,0.0714,28.6
571,1682,-2.5163,9.5816,-1.4461,0.1751,-0.2081,0.0629,28.6
581,1686,-2.6911,9.9671,-0.8978,0.1577,-0.2337,0.0386,28.62
591,1759,-3.0718,10.3813,-0.3807,0.1079,-0.2715,0.0115,28.62
601,1727,-3.5458,10.7548,0.1245,0.0234,-0.3187,-0.0269,28.62
611,1776,-4.1228,11.0468,0.6512,-0.0791,-0.3643,-0.0845,28.6
621,1721,-4.719,11.3174,1.0606,-0.1785,-0.4,-0.1463,28.62
631,1666,-5.2241,11.5281,1.3503,-0.2081,-0.385,-0.211,28.62
641,1719,-5.5857,11.6981,1.3575,-0.1316,-0.3099,-0.2555,28.61
651,1661,-5.5378,11.5855,1.0511,0.0437,-0.2062,-0.2766,28.6
661,1635,-5.0542,11.1977,0.4046,0.259,-0.1108,-0.2737,28.61
671,1622,-4.1731,10.5848,-0.3136,0.4359,-0.0738,-0.2497,28.62
681,1616,-3.0909,9.8857,-0.7518,0.5193,-0.15,-0.2073,28.62
691,1585,-1.9728,9.2656,-0.8859,0.4986,-0.3395,-0.1636,28.63
701,1616,-1.1205,8.8011,-0.7997,0.3832,-0.5875,-0.1282,28.63
711,1582,-0.5962,8.4276,-0.498,0.2094,-0.8487,-0.1138,28.63
721,1565,-0.4621,8.2576,-0.012,0.0274,-1.0805,-0.125,28.63
731,1473,-0.6201,8.1977,0.6656,-0.1135,-1.2465,-0.1537,28.64
741,1475,-1.0223,8.1403,1.4269,-0.17,-1.3454,-0.1945,28.64
751,1808,-1.561,8.0996,2.1404,-0.1567,-1.3901,-0.218,28.64
761,1693,-2.1691,8.0014,2.7509,-0.1005,-1.3952,-0.2166,28.64
771,1661,-2.794,7.9631,3.0311,-0.0298,-1.3763,-0.1871,28.64
781,1776,-3.395,7.9655,3.0119,0.0181,-1.3312,-0.129,28.66
791,1717,-3.96,8.0469,2.6743,0.0434,-1.2457,-0.061,28.65
801,1679,-4.4245,8.2504,2.1859,0.0429,-1.1183,0.0112,28.66
811,1535,-4.7812,8.5712,1.6807,0.0312,-0.9646,0.0783,28.67
821,1815,-5.0518,8.9352,1.1516,0.0285,-0.7949,0.1338,28.67
826,1845,-5.1284,9.1004,0.9002,0.0328,-0.724,0.1561,28.67
836,1703,-5.2218,9.56,0.2634,0.0469,-0.5183,0.215,28.67
846,1675,-5.1332,9.8258,-0.1772,0.0594,-0.332,0.2577,28.68
856,1872,-4.8339,9.8665,-0.4381,0.0602,-0.1596,0.2958,28.68
866,1746,-4.2473,9.7516,-0.4405,0.0266,-0.0458,0.328,28.68
876,1882,-3.5027,9.5481,-0.2897,-0.0432,-0.0168,0.3443,28.69
886,1931,-2.7509,9.3948,-0.1221,-0.1402,-0.0592,0.3525,28.68
896,1808,-2.1476,9.3134,0.012,-0.2393,-0.1487,0.3581,28.67
906,1903,-1.6089,9.2177,0.0814,-0.3126,-0.2414,0.3573,28.69
916,1948,-1.1468,9.0884,0.2227,-0.3403,-0.32,0.3483,28.69
926,2027,-0.7566,8.9399,0.2298,-0.3285,-0.3901,0.3123,28.67
936,2043,-0.5052,8.7293,0.2274,-0.2934,-0.4596,0.2609,28.68
946,2270,-0.498,8.5258,0.1628,-0.2294,-0.5223,0.2073,28.69
956,2230,-0.7159,8.4156,0.0239,-0.1663,-0.559,0.158,28.69
966,2160,-1.0391,8.4108,-0.079,-0.1354,-0.5582,0.1231,28.69
976,1936,-1.3838,8.5641,-0.067,-0.1362,-0.5364,0.0959,28.69
986,1895,-1.7262,8.7245,0.0455,-0.149,-0.5177,0.0879,28.7
996,1863,-1.9561,8.9519,0.1628,-0.1599,-0.5183,0.0826,28.7
1006,1850,-2.083,9.1722,0.1437,-0.1641,-0.5343,0.0714,28.69
1016,1825,-2.1261,9.3541,0.079,-0.1559,-0.5534,0.0525,28.7
1026,1812,-2.1045,9.505,-0.0431,-0.1308,-0.555,0.0272,28.69
1036,1972,-2.0111,9.56,-0.0551,-0.0943,-0.534,0.0003,28.7
1046,1843,-1.8627,9.5696,-0.0335,-0.0552,-0.5089,-0.0213,28.72
1056,1525,-1.7382,9.5074,0.0742,-0.0203,-0.4975,-0.0429,28.7
1066,1659,-1.7047,9.4332,0.1604,0.0109,-0.5039,-0.0634,28.71
1076,4095,-1.7789,9.3494,0.2634,0.0424,-0.5164,-0.0815,28.72
1086,4095,-1.9441,9.3087,0.2825,0.0802,-0.51,-0.1018,28.73
1096,4095,-2.0997,9.268,0.2346,0.1223,-0.4738,-0.1252,28.72
1106,1298,-2.2146,9.2057,0.2035,0.1633,-0.4191,-0.1482,28.72
1116,1757,-2.2386,9.153,0.1365,0.1956,-0.3645,-0.1679,28.71
1126,1961,-2.241,9.1099,0.0048,0.2161,-0.3192,-0.1812,28.72
1136,1861,-2.2386,9.1171,-0.2011,0.2238,-0.2825,-0.1868,28.72
1146,1818,-2.2194,9.153,-0.3184,0.2236,-0.2489,-0.1852,28.73
